numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07690;20200320090000;102320;80;1;90;6.100000;288.450000;285.050000;80;20000;1;1;1;50;3;mq;35;23;10;102010;mq;mq;-230;mq;mq;mq;mq;282.650000;mq;mq;7.300000;8.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;6;600;4;3;2900;mq;mq;mq;mq;mq;mq;
07747;20200320090000;102160;90;1;110;0.800000;284.150000;283.550000;96;3680;10;mq;mq;mq;1;80;mq;mq;mq;101620;mq;mq;-380;mq;mq;mq;mq;279.850000;mq;mq;2.300000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;1;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20200320090000;102250;40;0;270;2.000000;288.750000;279.950000;56;53920;0;mq;mq;mq;4;1750;mq;mq;mq;102140;mq;mq;-250;mq;mq;mq;mq;279.150000;mq;mq;2.800000;2.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;1860;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20200320090000;102330;50;0;60;1.000000;286.350000;282.950000;80;28380;0;mq;mq;100;8;2250;mq;mq;mq;102180;mq;mq;-190;mq;mq;mq;mq;282.750000;mq;mq;1.800000;2.000000;-10;mq;0.000000;mq;mq;0.000000;1.800000;mq;mq;mq;mq;mq;mq;mq;8;mq;2220;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61968;20200320090000;101170;150;8;180;1.200000;305.050000;297.650000;65;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101130;mq;mq;-10;mq;297.150000;mq;305.250000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61972;20200320090000;101370;80;8;170;6.300000;301.550000;294.550000;66;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101300;mq;mq;20;mq;297.750000;mq;302.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61976;20200320090000;101300;100;8;mq;mq;303.850000;297.550000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101210;mq;mq;160;mq;299.850000;mq;304.250000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61980;20200320090000;101360;-110;8;50;2.400000;301.750000;291.850000;55;19640;0;mq;mq;100;8;1250;mq;mq;mq;101210;mq;mq;220;mq;mq;mq;mq;mq;mq;mq;3.800000;5.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1350;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20200320090000;100870;70;8;300;5.700000;292.750000;292.450000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100530;mq;mq;-410;mq;291.350000;mq;293.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.400000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20200320090000;100970;350;1;190;14.500000;278.950000;275.750000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99190;mq;mq;-720;mq;277.850000;mq;283.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
